model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;95.94%;maximize_distance;172.70;2.81ms;0.69ms;12.90ms;0.85ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-PointMassModel-8daedcb0-ecd8-46c4-ab13-367f66b2a654/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Straight;76.11%;maximize_distance;137.00;7.44ms;0.72ms;13.47ms;7.06ms;-;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-a2313b41-18d9-4a1d-98e6-b0f7e91ca062/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;95.95%;maximize_distance;226.07;2.93ms;0.49ms;6.62ms;0.54ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-PointMassModel-a720ff5b-b020-4d77-b245-59ebacb0baaf/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Left Turn;87.25%;maximize_distance;205.57;7.43ms;0.52ms;12.23ms;6.66ms;-;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-d0ebe005-af83-4de7-948d-88bbf9637817/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;95.90%;maximize_distance;97.71;2.92ms;0.64ms;6.47ms;0.58ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-PointMassModel-8ee13771-3320-4b14-a966-35444b3613d8/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Lane Change;65.52%;maximize_distance;66.76;7.83ms;4.02ms;52.90ms;7.07ms;-;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-66cfc7b4-2e2a-4bba-8c8a-985fed0ae4a0/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;12.84%;maximize_distance;41.45;3.22ms;0.41ms;5.79ms;2.39ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-PointMassModel-561fd1bf-617e-44c0-94b6-955a24905d88/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Slalom;37.07%;maximize_distance;119.64;7.46ms;0.48ms;11.70ms;7.08ms;-;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-993dc652-db4c-4aa3-8f1f-18673dd7d342/stats.pdf""; ""Stats"")"
Point Mass;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;94.83%;maximize_distance;57.84;4.08ms;1.54ms;14.00ms;0.57ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-PointMassModel-b935b5cd-8566-48bf-950f-aea52e382ad9/stats.pdf""; ""Stats"")"
Bicycle;20.00ms;5;5;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-0.4;0.4;Elchtest 1;22.09%;maximize_distance;13.48;9.61ms;0.45ms;10.29ms;8.77ms;-;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-e1450ffd-fe67-48ad-821a-552d02c63c41/stats.pdf""; ""Stats"")"
