model;dt;re-plan after #timesteps;planning horizon;v_min [m/s];v_max [m/s];a_min [m/s^2];a_max [m/s^2];delta_min [radians];delta_max [radians];v_delta_min [radians/s];v_delta_max [radians/s];road name;road completion;objective name;objective value;avg solve time;Standard deviation;max solve time;min solve time;url animation;url stats
Bicycle;16.67ms;5;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Straight;95.95%;minimize_offset_from_reference_path;-5070.42;5.61ms;-;13.92ms;2.18ms;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-49810393-3e16-47c9-ae93-416515e5d087/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-49810393-3e16-47c9-ae93-416515e5d087/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Left Turn;95.97%;minimize_offset_from_reference_path;-6189.07;5.76ms;-;14.75ms;2.16ms;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-2b7bfd7a-68cb-4984-9b82-86f69a555052/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-2b7bfd7a-68cb-4984-9b82-86f69a555052/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Lane Change;95.92%;minimize_offset_from_reference_path;-2632.13;5.40ms;-;16.27ms;1.73ms;"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-04bbb790-e5be-42ab-9ec6-239ab7734151/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/lane_change-BicycleModel-04bbb790-e5be-42ab-9ec6-239ab7734151/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Slalom;95.96%;minimize_offset_from_reference_path;-7217.58;5.58ms;-;14.58ms;1.74ms;"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-840f7425-24f4-4a60-a4b5-eb8497118bec/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/slalom-BicycleModel-840f7425-24f4-4a60-a4b5-eb8497118bec/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Elchtest 1;94.97%;minimize_offset_from_reference_path;-1264.21;6.24ms;-;9.67ms;1.25ms;"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-96974bf9-725e-4cc3-9185-892ba2f65f8a/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/elchtest_1-BicycleModel-96974bf9-725e-4cc3-9185-892ba2f65f8a/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Feasible Curve;94.39%;minimize_offset_from_reference_path;-1326.56;5.26ms;-;6.45ms;2.12ms;"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-bf546634-551e-4058-8618-0151af8ba511/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/feasible_curve-BicycleModel-bf546634-551e-4058-8618-0151af8ba511/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Infeasible Curve;47.97%;minimize_offset_from_reference_path;-598.80;5.58ms;-;6.39ms;5.30ms;"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-4868737a-fde6-4f7e-a003-4aaa805194ff/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/infeasible_curve-BicycleModel-4868737a-fde6-4f7e-a003-4aaa805194ff/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;3.5;5;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Random;95.96%;minimize_offset_from_reference_path;-5028.57;5.57ms;-;14.34ms;1.22ms;"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-a015cbfc-24ec-4149-b7bc-07c644ded0ca/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/random-BicycleModel-a015cbfc-24ec-4149-b7bc-07c644ded0ca/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Straight;95.93%;minimize_offset_from_reference_path;-2605.49;5.41ms;-;6.21ms;1.83ms;"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-df0daee5-4178-4dd9-aab7-94d5e52d1ecc/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/straight-BicycleModel-df0daee5-4178-4dd9-aab7-94d5e52d1ecc/stats.pdf""; ""Stats"")"
Bicycle;16.67ms;5;3;7.0;10;-6;3;-0.6981317007977318;0.6981317007977318;-8;8;Left Turn;95.93%;minimize_offset_from_reference_path;-2675.39;5.39ms;-;6.19ms;1.70ms;"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-438799c5-8fcc-4f5a-b9db-dafffead35f5/animation.mp4""; ""Animation"")";"=HYPERLINK(""http://wg-server.net:8000/left_turn-BicycleModel-438799c5-8fcc-4f5a-b9db-dafffead35f5/stats.pdf""; ""Stats"")"
